query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-03 01:30:00+01:00;SV;4,0;2018-12-07 15:20:33.056461;2018-12-07 15:20:37.134663;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f04d327f-22bd-4eda-b526-d16db7c3ff3a
nan;2D;2018-11-03 02:30:00+01:00;SV;3,0;2018-12-07 15:20:37.150226;2018-12-07 15:20:40.243990;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: de09523e-0ffb-448c-9b58-127e0c118235
nan;2D;2018-11-03 03:30:00+01:00;SV;3,0;2018-12-07 15:20:40.259623;2018-12-07 15:20:43.337772;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 2b26fb21-e6c0-4853-8520-946a8d8e31c5
nan;2D;2018-11-03 04:30:00+01:00;SV;3,0;2018-12-07 15:20:43.337772;2018-12-07 15:20:46.400320;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: a5e2e2b7-cac1-4017-818b-a04c0e62d74d
nan;2D;2018-11-03 05:30:00+01:00;SV;4,0;2018-12-07 15:20:46.415915;2018-12-07 15:20:50.509712;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 82260d84-b55d-4e17-98d4-910ff4d9bb0c
nan;2D;2018-11-03 06:30:00+01:00;SV;3,0;2018-12-07 15:20:50.509712;2018-12-07 15:20:53.619104;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 18af54ed-d8a1-4be1-a5d5-e4b6b6b73ee6
nan;2D;2018-11-03 07:30:00+01:00;SV;4,0;2018-12-07 15:20:53.619104;2018-12-07 15:20:57.744157;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 3dfbba18-9a56-4431-85d5-c3905755d396
nan;2D;2018-11-03 08:30:00+01:00;SV;3,0;2018-12-07 15:20:57.759764;2018-12-07 15:21:00.837946;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 2cf9f19d-a294-4901-a933-702bde91116b
nan;2D;2018-11-05 01:30:00+01:00;SV;2,0;2018-12-07 15:23:06.387053;2018-12-07 15:23:08.480822;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f307f9aa-21da-4267-8b1e-4718e11046ca
nan;2D;2018-11-05 02:30:00+01:00;SV;2,0;2018-12-07 15:23:08.496421;2018-12-07 15:23:10.605793;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f7f4b600-cee8-499a-8e2e-3fea2e8e5c70
nan;2D;2018-11-05 03:30:00+01:00;SV;2,0;2018-12-07 15:23:10.605793;2018-12-07 15:23:12.777682;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 1cb0b284-cd05-4c86-93e1-03a2c1f85d94
nan;2D;2018-11-05 04:30:00+01:00;SV;2,0;2018-12-07 15:23:12.793296;2018-12-07 15:23:14.918353;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 02e7d61c-11af-4874-ba68-1c72dcbbf1ae
nan;2D;2018-11-05 05:30:00+01:00;SV;3,0;2018-12-07 15:23:14.949580;2018-12-07 15:23:17.027688;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 73ed33fd-8d55-4f66-96c0-9d2a5d0be696
nan;2D;2018-11-05 06:30:00+01:00;SV;2,0;2018-12-07 15:23:17.043310;2018-12-07 15:23:19.137052;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 5f126f28-751f-4d1c-b27c-5efa3dc6893e
nan;2D;2018-11-05 07:30:00+01:00;SV;2,0;2018-12-07 15:23:19.137052;2018-12-07 15:23:21.262107;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 08fd7f1e-7792-4edb-bef7-8c440262f4e9
nan;2D;2018-11-05 08:30:00+01:00;SV;2,0;2018-12-07 15:23:21.277676;2018-12-07 15:23:23.402681;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 1379995c-4eec-4570-89f8-74a4115db3ab
nan;2D;2018-11-05 09:30:00+01:00;SV;3,0;2018-12-07 15:23:23.402681;2018-12-07 15:23:26.480833;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 3b9cae3d-75e6-4a4e-984e-7ce24ef1acd7
nan;2D;2018-11-05 10:30:00+01:00;SV;2,0;2018-12-07 15:23:26.480833;2018-12-07 15:23:28.558945;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: cc8ff43f-cc24-4571-bcc6-5b02add489e3
nan;2D;2018-11-05 11:30:00+01:00;SV;2,0;2018-12-07 15:23:28.574558;2018-12-07 15:23:30.637072;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 50cd4b0a-6c86-476e-87c2-ebf41b84b58e
nan;2D;2018-11-05 12:30:00+01:00;SV;3,0;2018-12-07 15:23:30.652701;2018-12-07 15:23:33.762089;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 9d2c4b3b-b71b-41bd-b37e-82a053364625
nan;2D;2018-11-05 13:30:00+01:00;SV;4,0;2018-12-07 15:23:33.777713;2018-12-07 15:23:37.902707;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 963cb577-12a0-480f-8fd0-886b6821fd82
nan;2D;2018-11-05 14:30:00+01:00;SV;2,0;2018-12-07 15:23:37.902707;2018-12-07 15:23:39.980875;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 2858163d-fed3-4b14-ab9f-30ed209dd3c4
