,pmd:TSO,pmd:cgmesProfile,pmd:content-reference,pmd:contentType,pmd:conversationId,pmd:creationDate,pmd:description,pmd:fileName,pmd:fullModel_ID,pmd:isFullModel,pmd:modelPartReference,pmd:modelProfile,pmd:modelid,pmd:modelingAuthoritySet,pmd:scenarioDate,pmd:timeHorizon,pmd:validFrom,pmd:version,pmd:versionNumber
0,REN,SV,CGMES/2D/REN/20181121/113000/SV/20181121T1130Z_2D_REN_SV_001.xml,CGMES,-1012560324,2018-11-19T10:58:50.5989427Z,SV Model,20181121T1130Z_2D_REN_SV_001.xml,122ed3e2-ebea-11e8-80e6-00155d38aa10,true,REN,http://entsoe.eu/CIM/StateVariables/4/1,122ed3e2-ebea-11e8-80e6-00155d38aa10,http://www.ren.pt/,2018-11-21T11:30:00.0000000Z,2D,20181121T1130Z,1,001
0,TTG,SV,CGMES/2D/TTG/20181121/233000/SV/20181121T2330Z_2D_TTG_SV_000.xml,CGMES,-1231788765,2018-11-20T15:08:09Z,CGMES data export model,20181121T2330Z_2D_TTG_SV_000.xml,6cdad0a8-8096-e661-9415-d8a82b45383d,true,TTG,http://entsoe.eu/CIM/StateVariables/4/1,6cdad0a8-8096-e661-9415-d8a82b45383d,http://www.tennet.eu/DE/OperationalPlanning,2018-11-21T23:30:00Z,2D,20181121T2330Z,0,000
1,ELERING,SV,CGMES/2D/ELERING/20181121/233000/SV/20181121T2330Z_2D_ELERING_SV_001.xml,CGMES,-418609917,2018-11-20T18:34:35Z,ELERING AP--Base-Network,20181121T2330Z_2D_ELERING_SV_001.xml,14b032d7-8a4b-4287-b0dc-4f714b7b0453,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,14b032d7-8a4b-4287-b0dc-4f714b7b0453,http://www.elering.ee/OperationalPlanning,2018-11-21T23:30:00Z,2D,20181121T2330Z,001,001
0,ELERING,SV,CGMES/2D/ELERING/20181122/03000/SV/20181122T0030Z_2D_ELERING_SV_001.xml,CGMES,-1480474809,2018-11-20T18:35:30Z,ELERING AP--Base-Network,20181122T0030Z_2D_ELERING_SV_001.xml,5f879cd2-b93b-4ba7-b5c5-003222d324c4,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,5f879cd2-b93b-4ba7-b5c5-003222d324c4,http://www.elering.ee/OperationalPlanning,2018-11-22T00:30:00Z,2D,20181122T0030Z,001,001
1,TTG,SV,CGMES/2D/TTG/20181122/03000/SV/20181122T0030Z_2D_TTG_SV_000.xml,CGMES,1826506350,2018-11-20T15:08:53Z,CGMES data export model,20181122T0030Z_2D_TTG_SV_000.xml,4d6ea02c-637f-e1a8-85c9-c2082c34d027,true,TTG,http://entsoe.eu/CIM/StateVariables/4/1,4d6ea02c-637f-e1a8-85c9-c2082c34d027,http://www.tennet.eu/DE/OperationalPlanning,2018-11-22T00:30:00Z,2D,20181122T0030Z,0,000
0,TTG,SV,CGMES/2D/TTG/20181122/13000/SV/20181122T0130Z_2D_TTG_SV_000.xml,CGMES,-592308566,2018-11-20T15:09:36Z,CGMES data export model,20181122T0130Z_2D_TTG_SV_000.xml,fc45910f-1e9e-67c0-f681-f94948b53625,true,TTG,http://entsoe.eu/CIM/StateVariables/4/1,fc45910f-1e9e-67c0-f681-f94948b53625,http://www.tennet.eu/DE/OperationalPlanning,2018-11-22T01:30:00Z,2D,20181122T0130Z,0,000
1,ELERING,SV,CGMES/2D/ELERING/20181122/13000/SV/20181122T0130Z_2D_ELERING_SV_001.xml,CGMES,279931019,2018-11-20T18:36:21Z,ELERING AP--Base-Network,20181122T0130Z_2D_ELERING_SV_001.xml,82c6517e-7817-41c2-992e-7e7876d60e04,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,82c6517e-7817-41c2-992e-7e7876d60e04,http://www.elering.ee/OperationalPlanning,2018-11-22T01:30:00Z,2D,20181122T0130Z,001,001
0,ELERING,SV,CGMES/2D/ELERING/20181122/23000/SV/20181122T0230Z_2D_ELERING_SV_001.xml,CGMES,1834051069,2018-11-20T18:37:15Z,ELERING AP--Base-Network,20181122T0230Z_2D_ELERING_SV_001.xml,456ee89d-32d0-4f07-a6d9-47bc785cd50a,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,456ee89d-32d0-4f07-a6d9-47bc785cd50a,http://www.elering.ee/OperationalPlanning,2018-11-22T02:30:00Z,2D,20181122T0230Z,001,001
1,TTG,SV,CGMES/2D/TTG/20181122/23000/SV/20181122T0230Z_2D_TTG_SV_000.xml,CGMES,974150064,2018-11-20T15:10:20Z,CGMES data export model,20181122T0230Z_2D_TTG_SV_000.xml,507912ed-4e2c-ec8b-b1cf-f6eb2e6ecae4,true,TTG,http://entsoe.eu/CIM/StateVariables/4/1,507912ed-4e2c-ec8b-b1cf-f6eb2e6ecae4,http://www.tennet.eu/DE/OperationalPlanning,2018-11-22T02:30:00Z,2D,20181122T0230Z,0,000
0,TTG,SV,CGMES/2D/TTG/20181122/33000/SV/20181122T0330Z_2D_TTG_SV_000.xml,CGMES,1018088124,2018-11-20T15:11:04Z,CGMES data export model,20181122T0330Z_2D_TTG_SV_000.xml,5acd41d5-4f4c-e10f-922e-f86c35f51434,true,TTG,http://entsoe.eu/CIM/StateVariables/4/1,5acd41d5-4f4c-e10f-922e-f86c35f51434,http://www.tennet.eu/DE/OperationalPlanning,2018-11-22T03:30:00Z,2D,20181122T0330Z,0,000
